U.S. DEPARTMENT OF THE TREASURY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,,,,
2024 ANNUAL STATE STATISTICAL REPORT - Wine,,,,
 ,,,,
Report Date: 13-JUN-2025,,,,
Report Symbol: TTB-S-5120-2024,,,,
,,,,
Units: Wine Gallons,Production,Taxable Withdrawals,Tax Free Withdrawals,Stocks on Hand End-of-Period
National Total,647701604,583023963,153766427,1088962899
Alabama,28135,     -b,902,     -b
Alaska,166667,160855,180,27859
Arizona,376911,284131,5514,884939
Arkansas,     -b,146135,1631,449872
California,508246015,361707237,80061797,933901616
Colorado,685283,748674,10622,730602
Connecticut,155967,137700,13143,327582
Delaware,15980,18450,145,15454
Dist. of Columbia,     -b,     -b,               .,     -b
Florida,2067177,     -b,1408714,1839211
Georgia,488071,434669,3842,497981
Hawaii,19709,32822,     -b,     -b
Idaho,522663,435213,9832,1168434
Illinois,2022719,13098476,     -b,3514466
Indiana,     -b,3808934,     -b,2854899
Iowa,186019,171061,17710,281329
Kansas,83734,191923,6469,189691
Kentucky,9346956,1687887,     -b,1261110
Louisiana,     -b,38041,     -b,     -b
Maine,459496,67797,     -b,196363
Maryland,400462,444205,     -b,711509
Massachusetts,     -b,10222382,6620,1843759
Michigan,5004494,5178134,49186,4483569
Minnesota,342823,604195,10367,538900
Mississippi,26708,19777,506,     -b
Missouri,1925934,     -b,     -b,3014991
Montana,279777,248813,     -b,123838
Nebraska,306808,304013,4795,208591
Nevada,9561,5270,256,4233
New Hampshire,169633,144384,37355,333748
New Jersey,2515854,1415906,     -b,916566
New Mexico,288393,370036,3411,1734835
New York,27915784,18535177,7533365,17895736
North Carolina,2361967,2918044,13083,1299325
North Dakota,23871,17786,1106,46131
Ohio,6370873,3495905,24731,1728324
Oklahoma,56493,40686,1680,17934
Oregon,18013531,13499548,129830,23119431
Pennsylvania,     -b,44297315,     -b,5572650
Rhode Island,65665,70522,1089,146182
South Carolina,     -b,     -b,7962,     -b
South Dakota,70373,100786,581,84003
Tennessee,292612,499024,32808,426185
Texas,2169086,21809744,148706,6461276
Utah,97707,52112,3344,92910
Vermont,1678896,3035982,3613,566221
Virginia,2503625,3109217,25744,3827052
Washington,25739185,23322669,2992640,62318081
West Virginia,30501,32779,2094,29623
Wisconsin,2077940,2622898,     -b,1059707
Wyoming,26450,20853,     -b,     -b
,,,,
NOTES:,,,,
 ,,,,
"aTax Free Withdrawals includes volumes exported or tested (bulk or bottled), bottled wines used for tasting or family use, and bulk wine removed to vinegar plants or removed for distilling material.",,,,
bA dash '-' indicates data that could possibly identify a particular taxpayer and cannot be disclosed.,,,,
 ,,,,
Changes in reported values for prior periods may occur due to late or amended operational reports. The data presented in this report was generated on 13-JUN-2025.,,,,
http://www.ttb.gov,,,,
