year,production_total,production_low_alc,production_medium_alc,production_high_alc,production_sparkling,production_hard_cider,withdrawals_taxable_total,withdrawals_taxable_bottled,withdrawals_taxable_bulk,withdrawals_export_total,withdrawals_export_bottled,withdrawals_export_bulk,stocks_total,stocks_bottled,stocks_bulk,active_wineries
2012,1618350904.0,648822674.0,129711736.0,129711736.0,24619386.0,5626654.0,,597299834.0,22367575.0,,57148125.0,48120694.0,,,,6498.0
2013,1765286628.0,687748626.0,158602495.0,158602495.0,27550062.0,8496236.0,,613767367.0,35657469.0,,61643341.0,45765606.0,,,,6847.0
2014,1763925502.0,660482171.0,172828136.0,172828136.0,29760398.0,18636947.0,,645828024.0,37916579.0,,63299084.0,45356589.0,,,,7270.0
2015,1611121305.0,637998242.0,127827800.0,127827800.0,30311661.0,,,671002881.0,30481797.0,,63849237.0,45006927.0,,,,7580.0
2016,1694548069.0,655225780.0,151305807.0,151305807.0,30894633.0,,,684075655.0,27260807.0,,56383765.0,44869954.0,,,,7919.0
2017,1779909085.0,665306188.0,169665738.0,169665738.0,34556917.0,19582467.0,,695021008.0,13857033.0,,47630894.0,46458098.0,,,,8293.0
2018,1743985567.0,761913155.0,54336293.0,54336293.0,32394679.0,22073327.0,,724991808.0,13175556.0,,41537342.0,49884763.0,,,,8361.0
2019,1708106955.0,744091515.0,54077770.0,54077770.0,31371508.0,22074455.0,,710440619.0,14798872.0,,36799733.0,51356437.0,,,,8763.0
2020,1538835195.0,673097800.0,43011534.0,43011534.0,29898772.0,21294949.0,,724940888.0,17972659.0,,34427990.0,62073870.0,,,,9005.0
2021,1547567244.0,665817908.0,42995328.0,42995328.0,33998382.0,27696051.0,,708765771.0,5593650.0,,35260755.0,52776741.0,,,,9386.0
2022,1549777228.0,660783674.0,51203524.0,51203524.0,31559554.0,29125414.0,,656954979.0,12596882.0,,36033820.0,40702933.0,,,,9610.0
2023,1540892093.0,668593565.0,42361858.0,42361858.0,28497980.0,29297680.0,,614029605.0,16041131.0,,29309839.0,31667260.0,,,,9584.0
2024,1307047355.0,558115251.0,42410508.0,42410508.0,26750727.0,24502568.0,,569617697.0,24314079.0,,27723192.0,40889855.0,,,,9225.0
